,lat,lon,name
285,40.67919,-74.011099,Brooklyn Ice House
286,40.73935,-74.03008,Madd Hatter
287,40.6875,-74.00135,The Hop Shop Brooklyn
288,40.8726,-74.15172,The Clif
289,40.7021423,-73.8950618,Queens Tavern
290,40.72579,-73.98391,Pyramid Club
291,40.672563,-73.983186,The Gate
292,40.6809626,-73.9941376,Gowanus Yacht Club
293,40.70263,-73.929609,Gold Sounds
294,40.73618,-74.03045,Green Rock Tap & Grill
295,40.69374,-73.92984,Flowers For All Occasions
296,40.6762009,-73.9494781,King Tai
297,40.875983,-74.1397799,Clash Bar
298,40.68837,-73.95684,Chilo's
299,40.730259195,-73.9819999784,Phoenix
300,40.7128967,-73.8788221,Pat's Sports Bar
301,40.641891,-74.016845,Irish Haven
302,40.62376,-73.97563,Starlite Lounge
303,40.68155,-74.10299,Di Giorgio's
304,40.76754,-73.921342,Irish Whiskey Bar
305,40.725781247,-74.0470214188,Guillo's Place
306,40.71177,-73.94521,LP & Harmony
307,40.636625,-74.025931,Three Jolly Pigeons
308,40.7401351929,-73.7911682129,The Emerald Pub
309,40.694873,-73.848359,Tavern Lounge
310,40.781028,-73.917167,Hellgate On the Park
311,40.8692172041,-73.9173455534,Liffy II Bar
312,40.6386879,-73.9684367,773 Lounge
313,40.742452,-73.917363,Paddy Duggan Pub
314,40.77097,-74.13988,The Snug Harbor
315,40.6476,-73.97275,Shenanigans Pub
316,40.7358512084,-74.0292615071,Phoenix Bar and Grille
317,40.823879,-74.0979768,Castle Billiards Lounge
318,40.6695175171,-73.9863204956,Smith's Tavern
319,40.71373,-73.93397,Sunnyvale Brooklyn
320,40.761673,-73.7897644,McCabe's Bar Car
321,40.7078,-73.83128,Last Call
322,40.709074,-73.90705,The Windjammer
323,40.81039,-74.1375599,Mickey's Bar and Grill
324,40.7115402,-73.9432755,4th Down Sports Bar
325,40.714317,-73.9514,Macri Park
326,40.722663,-73.986328,Julep
327,40.879401,-73.9040459,Mr. McGoo's Pub
328,40.714987,-73.94414,Carmine's Pizzeria
329,40.8978313,-73.8670453,Fireside Pub
330,40.700489,-73.925857,Alphaville
331,40.857139,-73.885864,Mugzs Sports Bar
332,40.61531,-74.0342299,Kitty Kiernans
333,40.710525,-73.936396,Live @ Shea Stadium
334,40.8828873284,-74.1077499595,The Sportsman
335,40.71363,-73.94948,Metropolitan
336,40.9052833,-74.0409112,Lenora's Bar & Grill
337,40.85264,-73.78917,Fella's
338,40.6195392638,-73.9161872864,Bill's Bar
339,40.8718087,-74.087649124,Donnie & Juniors
340,40.7006,-73.82628,Little Brown Jug
341,40.867552,-73.883549,Jolly Tinker
342,40.6585084,-73.9966357,Xstasy Night Club
343,40.6168518066,-74.0304946899,Kelly's Tavern
344,40.61951,-73.93322,Bulls Eye Sports Pub
345,40.85764,-73.88629,Howl at the Moon
346,40.8918791145,-74.1429181148,Paul's Bar & Bowling
347,40.810030608,-73.9431898388,Lenox Coffee
348,40.70546,-73.90993,Onderdonk & Sons
349,40.75695,-73.914253,Lavelle's Admiral's Club
350,40.6298,-74.02864,The Harp
351,40.7207474113,-73.8093435019,Parsons Ale House
352,40.7124795,-73.7850803,Pregame Sports Bar & Lounge
353,40.747207,-74.150032,Hinchy's Steel Bar & Grill
354,40.7145982666,-73.8320088387,O'Hanlon Bar & Grill
355,40.8559112549,-74.116645813,Polka Dot Rest
356,40.87609,-74.02845,Buddy's Place
